old_url,path_to_new_markdown_file,new_url
/techblog/2005/04/gentoo-20043-on-gigabyte-ga-6va7-part.shtml,_posts/2005/2005-04-20-gentoo-20043-on-gigabyte-ga-6va7-part-3.md,/blog/2005-04-20-gentoo-20043-on-gigabyte-ga-6va7-part-3/
/techblog/2005/04/gentoo-20043-on-gigabyte-ga-6va7-part_20.shtml,_posts/2005/2005-04-19-gentoo-20043-on-gigabyte-ga-6va7-part-2.md,/blog/2005-04-19-gentoo-20043-on-gigabyte-ga-6va7-part-2/
/techblog/2005/03/installing-gentoo-on-software-raid.shtml,_posts/2005/2005-03-31-installing-gentoo-on-software-raid.md,/blog/2005-03-31-installing-gentoo-on-software-raid/
/techblog/2005/03/gentoo-20050-on-gigabyte-ga-6va7-part.shtml,_posts/2005/2005-03-31-gentoo-20050-on-gigabyte-ga-6va7-part-1.md,/blog/2005-03-31-gentoo-20050-on-gigabyte-ga-6va7-part-1/
/techblog/2004_06_01_archive.shtml,,
/techblog/2004_04_01_archive.shtml,,
/techblog/2005/04/gentoo-and-software-raid-20043.shtml,_posts/2005/2005-04-19-gentoo-and-software-raid-20043.md,/blog/2005-04-19-gentoo-and-software-raid-20043/
/techblog/2004/06/gentoo-install-2-via-epia-me6000.shtml,_posts/2004/2004-06-15-gentoo-install-2-via-epia-me6000.md,/blog/2004-06-15-gentoo-install-2-via-epia-me6000/
/techblog/2004/06/gentoo-install-6-grub-system-tools.shtml,_posts/2004/2004-06-16-gentoo-install-6-grub-system-tools-finalizing-the-install.md,/blog/2004-06-16-gentoo-install-6-grub-system-tools-finalizing-the-install/
/techblog/2005/09/gentoo-20051-software-raid-part-2.shtml,_posts/2005/2005-09-22-gentoo-20051-software-raid-part-2-celeron-cpu.md,/blog/2005-09-22-gentoo-20051-software-raid-part-2-celeron-cpu/
/techblog/2004/04/gentoo-epia-install-part-1.shtml,_posts/2004/2004-04-27-gentoo-epia-install-part-1.md,/blog/2004-04-27-gentoo-epia-install-part-1/
/techblog/2005/08/visual-basic-rnd-function-tricks-and.shtml,_posts/2005/2005-08-30-visual-basic-rnd-function-tricks-and-traps.md,/blog/2005-08-30-visual-basic-rnd-function-tricks-and-traps/
/techblog/2004/06/gentoo-install-5-manual-kernel.shtml,_posts/2004/2004-06-16-gentoo-install-5-manual-kernel-configuration.md,/blog/2004-06-16-gentoo-install-5-manual-kernel-configuration/
/techblog/2004/06/gentoo-install-3-bootstrapping.shtml,_posts/2004/2004-06-15-gentoo-install-3-bootstrapping.md,/blog/2004-06-15-gentoo-install-3-bootstrapping/
/techblog/2004/06/troubleshooting-software-raid-boot.shtml,_posts/2004/2004-06-17-troubleshooting-software-raid-boot-problems.md,/blog/2004-06-17-troubleshooting-software-raid-boot-problems/
/techblog/2004/06/securing-cwrsync.shtml,_posts/2004/2004-06-18-securing-cwrsync.md,/blog/2004-06-18-securing-cwrsync/
/techblog/css_4panel_layout_example_Jun2004.shtml,,
/techblog/2004/05/gentoo-samba-with-ads.shtml,_posts/2004/2004-05-01-gentoo-samba-with-ads.md,/blog/2004-05-01-gentoo-samba-with-ads/
/techblog/css_4panel_layout_example2_Jun2004.shtml,,
/techblog/css_4panel_layout_example2short_Jun2004.shtml,,
/techblog/2004/06/gentoo-install-4-installing-kernel.shtml,_posts/2004/2004-06-16-gentoo-install-4-installing-the-kernel-sources.md,/blog/2004-06-16-gentoo-install-4-installing-the-kernel-sources/
/techblog/2004/06/lvm-and-software-raid.shtml,_posts/2004/2004-06-15-lvm-and-software-raid.md,/blog/2004-06-15-lvm-and-software-raid/
/techblog/2004/04/via-epia-gentoo-build.shtml,_posts/2004/2004-04-27-via-epia-gentoo-build.md,/blog/2004-04-27-via-epia-gentoo-build/
/techblog/2004/06/gentoo-install-1-via-epia-me6000.shtml,_posts/2004/2004-06-15-gentoo-install-1-via-epia-me6000.md,/blog/2004-06-15-gentoo-install-1-via-epia-me6000/
/techblog/2004/04/gentoo-lvm2-stuff.shtml,_posts/2004/2004-04-30-gentoo-lvm2-stuff.md,/blog/2004-04-30-gentoo-lvm2-stuff/
/techblog/2004/05/gentoo-samba-round-2.shtml,_posts/2004/2004-05-01-gentoo-samba-round-2.md,/blog/2004-05-01-gentoo-samba-round-2/
/techblog/2004/06/rsync-and-windows.shtml,,
/techblog/2004/07/rsyncconf-file-for-cygwin-environments.shtml,_posts/2004/2004-07-21-rsyncconf-file-for-cygwin-environments.md,/blog/2004-07-21-rsyncconf-file-for-cygwin-environments/
/techblog/2004/04/gentoo-epia-install-part-6.shtml,_posts/2004/2004-04-28-gentoo-epia-install-part-6.md,/blog/2004-04-28-gentoo-epia-install-part-6/
/techblog/2004/05/tyan-trinity-kt400-s2495-part-2.shtml,_posts/2004/2004-05-15-tyan-trinity-kt400-s2495-part-2.md,/blog/2004-05-15-tyan-trinity-kt400-s2495-part-2/
/techblog/2004/04/gentoo-epia-install-part-5.shtml,_posts/2004/2004-04-28-gentoo-epia-install-part-5.md,/blog/2004-04-28-gentoo-epia-install-part-5/
