file_path,old_url
_posts/2005/2005-03-31-gentoo-20050-on-gigabyte-ga-6va7-part-1.md,/techblog/2004_06_01_archive.shtml
_posts/2005/2005-09-23-gentoo-20051-software-raid-part-3.md,/techblog/2004_04_01_archive.shtml
_posts/2005/2005-09-07-gentoo-20051-software-raid-part-1.md,/techblog/2005/04/gentoo-and-software-raid-20043.shtml
_posts/2005/2005-09-07-gentoo-20051-software-raid-part-1.md,/techblog/2004/06/gentoo-install-2-via-epia-me6000.shtml
_posts/2005/2005-09-07-gentoo-20051-software-raid-part-1.md,/techblog/2005/04/gentoo-20043-on-gigabyte-ga-6va7-part.shtml
_posts/2005/2005-04-20-gentoo-20043-on-gigabyte-ga-6va7-part-5.md,/techblog/2004/06/gentoo-install-6-grub-system-tools.shtml
_posts/2005/2005-10-20-gentoo-eth0-does-not-exist.md,/techblog/2005/09/gentoo-20051-software-raid-part-2.shtml
_posts/2005/2005-03-29-gentoo-epia-install-part-2.md,/techblog/2004/04/gentoo-epia-install-part-1.shtml
_posts/2005/2005-03-29-gentoo-epia-install-part-3.md,/techblog/2004/06/gentoo-install-2-via-epia-me6000.shtml
_posts/2005/2005-07-13-gentoo-20050-software-raid-part-1.md,/techblog/2005/03/gentoo-epia-install-part-1.shtml
_posts/2005/2005-04-19-gentoo-20043-on-gigabyte-ga-6va7-part-1.md,/techblog/2004/06/gentoo-install-2-via-epia-me6000.shtml
_posts/2005/2005-11-25-visual-basic-rnd-issues-take-2.md,/techblog/2005/08/visual-basic-rnd-function-tricks-and.shtml
_posts/2004/2004-06-17-troubleshooting-software-raid-boot-problems.md,/techblog/2004/06/gentoo-install-5-manual-kernel.shtml
_posts/2004/2004-06-17-troubleshooting-software-raid-boot-problems.md,/techblog/2004/06/gentoo-install-3-bootstrapping.shtml
_posts/2004/2004-06-16-gentoo-install-emerge-grub-or-emerge-lilo-fails-to-mount-boot.md,/techblog/2004/06/gentoo-install-2-via-epia-me6000.shtml
_posts/2004/2004-06-16-gentoo-install-emerge-grub-or-emerge-lilo-fails-to-mount-boot.md,/techblog/2004/06/troubleshooting-software-raid-boot.shtml
_posts/2004/2004-07-21-rsync-and-windows.md,/techblog/2004/06/securing-cwrsync.shtml
_posts/2004/2004-06-12-css-4-panel-layout-using-divs.md,/techblog/css_4panel_layout_example_Jun2004.shtml
_posts/2004/2004-07-21-minimal-cygwin-install-for-rsync-and-ssh.md,/techblog/2004/07/hacking-together-minimal-rsync-for.shtml
_posts/2004/2004-06-19-gentoo-failed-to-load-mii.md,/techblog/2004/06/gentoo-install-5-manual-kernel.shtml
_posts/2004/2004-05-01-gentoo-samba-round-2.md,/techblog/2004/05/gentoo-samba-with-ads.shtml
_posts/2004/2004-06-12-more-css-4-panel-layout-using-divs-attempt-2.md,/techblog/css_4panel_layout_example2_Jun2004.shtml
_posts/2004/2004-06-12-more-css-4-panel-layout-using-divs-attempt-2.md,/techblog/css_4panel_layout_example2short_Jun2004.shtml
_posts/2004/2004-06-10-installing-cwrsync-on-windows-2000.md,/techblog/2004/06/securing-cwrsync.shtml
_posts/2004/2004-06-15-gentoo-install-3-bootstrapping.md,/techblog/2004/06/gentoo-install-2-via-epia-me6000.shtml
_posts/2004/2004-06-15-gentoo-install-3-bootstrapping.md,/techblog/2004/06/gentoo-install-4-installing-kernel.shtml
_posts/2004/2004-06-15-gentoo-install-1-via-epia-me6000.md,/techblog/2004/04/gentoo-epia-install-part-1.shtml
_posts/2004/2004-06-15-gentoo-install-1-via-epia-me6000.md,/techblog/2004/06/lvm-and-software-raid.shtml
_posts/2004/2004-06-15-gentoo-install-1-via-epia-me6000.md,/techblog/2004/04/via-epia-gentoo-build.shtml
_posts/2004/2004-06-15-gentoo-install-1-via-epia-me6000.md,/techblog/2004/04/gentoo-epia-install-part-1.shtml
_posts/2004/2004-06-15-gentoo-install-1-via-epia-me6000.md,/techblog/2004/06/gentoo-install-1-via-epia-me6000.shtml
_posts/2004/2004-06-15-gentoo-install-2-via-epia-me6000.md,/techblog/2004/06/gentoo-install-3-bootstrapping.shtml
_posts/2004/2004-05-11-subversion-install-on-gentoo.md,/techblog/2004/04/gentoo-lvm2-stuff.shtml
_posts/2004/2004-05-08-gentoo-samba-round-3.md,/techblog/2004/05/gentoo-samba-round-2.shtml
_posts/2004/2004-05-08-gentoo-samba-round-3.md,/techblog/2004/05/gentoo-samba-with-ads.shtml
_posts/2004/2004-07-21-hacking-together-a-minimal-rsync-for-windows-installation.md,/techblog/2004/06/rsync-and-windows.shtml
_posts/2004/2004-07-21-hacking-together-a-minimal-rsync-for-windows-installation.md,/techblog/2004/07/rsyncconf-file-for-cygwin-environments.shtml
_posts/2004/2004-06-16-gentoo-install-6-grub-system-tools-finalizing-the-install.md,/techblog/2004/06/gentoo-install-5-manual-kernel.shtml
_posts/2004/2004-06-16-gentoo-install-6-grub-system-tools-finalizing-the-install.md,/techblog/2004/04/gentoo-epia-install-part-6.shtml
_posts/2004/2004-06-16-gentoo-install-6-grub-system-tools-finalizing-the-install.md,/techblog/2004/04/gentoo-epia-install-part-6.shtml
_posts/2004/2004-05-19-tyan-trinity-kt400-s2495-performance.md,/techblog/2004/05/tyan-trinity-kt400-s2495-part-2.shtml
_posts/2004/2004-04-29-gentoo-install-troubleshooting.md,/techblog/2004/04/gentoo-epia-install-part-6.shtml
_posts/2004/2004-04-29-gentoo-install-troubleshooting.md,/techblog/2004/04/gentoo-epia-install-part-5.shtml
